,equipment_id,station_id,station_name,serial_number,start_time,end_time,part_family,part_id
6939,4,6,1,1644,2024-04-04 13:22:25.763,2024-04-04 13:22:49.193,4,af75bd79-b6df-4a99-9663-8a7a290e8e74
6940,2,3,0,1649,2024-04-04 13:21:13.640,2024-04-04 13:22:50.440,4,4b8d4e16-decd-4d30-937b-76d5e887f3c1
6941,3,0,0,1609,2024-04-04 13:22:45.656,2024-04-04 13:24:20.829,4,b0425911-96d4-4741-9f31-b36a93ae8834
6942,0,5,0,1739,2024-04-04 14:04:09.326,2024-04-04 14:07:00.323,1,d5b271d2-ecd1-4fe8-98bd-8bc58df79763
6943,2,3,0,1737,2024-04-04 14:04:53.578,2024-04-04 14:07:01.811,1,fabb85b0-1cb6-49cb-8175-de0c95ece1fd
6944,4,6,1,1196,2024-04-03 02:22:06.796,2024-04-03 02:22:29.873,6,a9c4c9de-cca4-41f7-815d-de29ec899de8
6945,6,2,2,1732,2024-04-04 14:06:30.930,2024-04-04 14:07:07.029,1,13278805-632e-4a94-8f00-759906e2a590
6946,4,6,1,1730,2024-04-04 14:06:46.318,2024-04-04 14:07:09.053,1,a14ab8d4-3d65-401b-874d-8df3ee390deb
6947,4,6,1,1729,2024-04-04 14:07:40.989,2024-04-04 14:08:04.590,1,3e8157ed-26f9-42f4-9033-776244181b20
6948,3,0,0,1738,2024-04-04 14:06:42.771,2024-04-04 14:08:30.576,1,e9cc864b-2275-4a78-8bcb-2cb2f52c12e0
6949,6,2,2,1730,2024-04-04 14:08:21.287,2024-04-04 14:08:57.319,1,a14ab8d4-3d65-401b-874d-8df3ee390deb
6950,1,1,0,1735,2024-04-04 14:07:05.267,2024-04-04 14:08:58.723,1,26f91e27-5170-48ca-88dd-dd4591dbc68d
6951,0,5,0,1652,2024-04-04 13:30:06.255,2024-04-04 13:32:22.648,4,913a313a-0790-4f62-bb1d-8b9c0dc63c98
6952,6,2,2,1648,2024-04-04 13:35:49.767,2024-04-04 13:36:27.957,4,d16aa6e9-cc89-469d-8039-39d34b7b3481
